Initial Temperature,Temperature Length,Cooling Ratio,num_non_improve,Runtime,Kemeny Score,Rating
36.0,40,0.891,45000.0,0.41609589999999996,111,46.1866449
36.0,40,0.891,50000,0.4540917,114,51.7664538
36.0,40,0.891,55000.00000000001,0.5074556,155,78.655618
36.0,40,0.99,45000.0,0.5182739000000001,84,43.53500760000001
36.0,40,0.99,50000,0.5859067,75,43.9430025
36.0,40,0.99,55000.00000000001,0.6198220999999999,84,52.065056399999996
36.0,40,1.089,45000.0,0.3763498000000003,680,255.9178640000002
36.0,40,1.089,50000,0.4091125,729,298.2430125
36.0,40,1.089,55000.00000000001,0.7012833999999999,615,431.28929099999993
36.0,45,0.891,45000.0,0.39863429999999944,106,42.25523579999994
36.0,45,0.891,50000,0.4679107999999994,101,47.25899079999994
36.0,45,0.891,55000.00000000001,0.49556550000000055,112,55.50333600000006
36.0,45,0.99,45000.0,0.5643390999999998,75,42.325432499999984
36.0,45,0.99,50000,0.5876660999999999,83,48.77628629999999
36.0,45,0.99,55000.00000000001,0.6153148000000002,92,56.608961600000015
36.0,45,1.089,45000.0,0.35831079999999993,749,268.37478919999995
36.0,45,1.089,50000,0.3994038,660,263.60650799999996
36.0,45,1.089,55000.00000000001,0.4431843000000004,661,292.9448223000003
36.0,50,0.891,45000.0,0.4562014999999988,105,47.901157499999876
36.0,50,0.891,50000,0.45373520000000056,108,49.00340160000006
36.0,50,0.891,55000.00000000001,0.5811378000000005,90,52.30240200000004
36.0,50,0.99,45000.0,0.5535007000000007,78,43.17305460000006
36.0,50,0.99,50000,0.5998439999999992,72,43.18876799999994
36.0,50,0.99,55000.00000000001,0.6464266000000016,73,47.189141800000115
36.0,50,1.089,45000.0,0.3684025999999996,583,214.77871579999976
36.0,50,1.089,50000,0.7793065000000006,623,485.50794950000034
36.0,50,1.089,55000.00000000001,0.4449735999999991,744,331.0603583999993
40,40,0.891,45000.0,0.4060902000000013,109,44.26383180000014
40,40,0.891,50000,0.46292820000000034,119,55.08845580000004
40,40,0.891,55000.00000000001,0.49445739999999994,223,110.26400019999998
40,40,0.99,45000.0,0.5602029000000002,75,42.01521750000001
40,40,0.99,50000,0.5922186999999983,80,47.377495999999866
40,40,0.99,55000.00000000001,0.6131317000000003,73,44.75861410000002
40,40,1.089,45000.0,0.3709947999999983,723,268.2292403999988
40,40,1.089,50000,0.43823999999999685,587,257.24687999999816
40,40,1.089,55000.00000000001,0.4487269000000005,732,328.46809080000037
